Clubs (138),89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs (138)
Burton Swifts (1902 Burton United),,,,,2. 6,2. 6,2. 11,2. 11,2. 14,2. 13,2. 13,2. 15,2. 18,2. 10,2. 13,2. 14,2. 17,2. 19,2. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burton United
Northwich Victoria,,,,,2. 7,2. 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwich Victoria
Bootle,,,,,2. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bootle
Lincoln City,,,,,2. 9,2. 8,2. 13,2. 13,2. 16,2. 14,2. 12,2. 9,2. 8,2. 5,2. 10,2. 12,2. 9,2. 13,2. 19,2. 20,,2. 15,2. 20,,2. 8,2. 19,2. 16,2. 21,,3. 14,3. 13,3. 19,3. 8,3. 15,3. 11,3. 2,3. 6,3. 5,3. 2,3. 1,2. 18,2. 22,3. 4,3. 4,3. 2,3. 7,3. 17,3. 12,3. 1,2. 22,3. 4,3. 5,3. 1,2. 15,2. 16,2. 16,2. 8,2. 18,2. 20,2. 19,2. 13,2. 22,3. 22,4. 22,4. 11,4. 22,4. 22,4. 24,4. 13,4. 8,4. 8,4. 21,4. 5,4. 10,4. 12,4. 5,4. 1,3. 9,3. 16,3. 24,4. 7,4. 2,3. 4,3. 6,3. 14,3. 19,3. 21,4. 24,,4. 10,4. 10,4. 14,4. 10,4. 8,4. 18,4. 12,4. 18,4. 9,4. 3,3. 23,4. 15,4. 18,4. 22,4. 6,4. 7,4. 6,4. 7,4. 5,4. 15,4. 13,4. 20,4. 23,,,,,,Lincoln City
,Season,,,,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Season
Clubs,,,,,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs
Crewe Alexandra,,,,,2. 10,2. 12,2. 16,2. 16,,,,,,,,,,,,,,,,,,,,,,3. 6,3. 6,3. 20,3. 15,3. 11,3. 15,3. 17,3. 9,3. 11,3. 18,3. 6,3. 10,3. 14,3. 13,3. 6,3. 20,3. 8,3. 8,3. 8,3. 10,3. 12,3. 7,3. 9,3. 16,3. 10,3. 16,3. 22,3. 24,3. 24,3. 24,4. 18,4. 14,4. 9,4. 10,4. 3,3. 22,4. 10,4. 14,4. 5,4. 4,3. 23,4. 15,4. 15,4. 24,4. 21,4. 21,4. 18,4. 16,4. 12,4. 15,4. 24,4. 23,4. 18,4. 24,4. 23,4. 16,4. 10,4. 12,4. 17,4. 17,4. 3,3. 12,3. 22,4. 6,4. 6,4. 3,3. 3,3. 5,3. 6,2. 11,2. 18,2. 19,2. 14,2. 22,3. 2,2. 18,2. 21,2. 22,3. 13,3. 20,3. 22,4. 18,4. 10,4. 7,3. 13,3. 19,3. 20,4. L1,Crewe Alexandra
Burslem Port Vale (1920 Port Vale),,,,,2. 11,2. 7,2. 15,2. 14,,,2. 9,2. 11,2. 9,2. 12,2. 9,2. 13,2. 16,2. 17,2. 16,,,,,,,,,2. 13,2. 17,2. 18,2. 17,2. 16,2. 8,2. 8,2. 8,2. 9,2. 21,3. 1,2. 5,2. 20,2. 17,2. 8,2. 18,2. 21,3. 11,3. 15,3. 18,3. 10,3. 8,3. 13,3. 13,3. 12,3. 13,4. 2,3. 1,2. 17,2. 12,2. 22,3. 15,3. 1,3. 13,3. 7,3. 12,3. 3,3. 13,3. 22,4. 19,4. 13,4. 18,4. 13,4. 4,3. 17,3. 15,3. 6,3. 20,3. 6,3. 12,3. 19,3. 21,4. 16,4. 20,4. 19,4. 7,4. 3,3. 23,4. 12,4. 4,3. 12,3. 11,3. 3,2. 11,2. 15,2. 24,3. 3,3. 2,2. 17,2. 12,2. 8,2. 19,2. 21,2. 23,3. 11,3. 14,3. 17,3. 7,3. 18,3. 13,3. 12,3. 23,4. 18,4. 10,4. 11,4. 12,4. 3,3. 9,3. 18,4. L1,Port Vale
Walsall Town Swifts (1897 W.T),,,,,2. 12,2. 10,2. 14,,2. 12,2. 10,2. 6,2. 12,2. 16,,,,,,,,,,,,,,,,,3. 8,3. 3,,3. 19,3. 21,3. 14,3. 18,3. 14,3. 17,3. 17,3. 16,3. 5,3. 4,3. 14,3. 10,3. 17,3. 21,3. 21,3. 5,3. 3,3. 14,3. 19,3. 15,3. 24,3. 24,3. 24,3. 23,3. 20,3. 15,3. 20,4. 6,4. 1,3. 2,2. 14,2. 21,3. 19,3. 19,3. 9,3. 12,3. 7,3. 13,3. 12,3. 20,3. 9,3. 17,3. 15,3. 8,3. 7,3. 15,3. 6,3. 22,4. 2,3. 20,3. 20,3. 10,3. 6,3. 11,3. 6,3. 8,3. 3,2. 24,3. 24,4. 16,4. 15,4. 5,4. 10,4. 2,3. 11,3. 12,3. 19,3. 2,2. 22,3. 4,2. 18,2. 17,2. 22,3. 14,3. 24,4. 1,3. 12,3. 13,3. 10,3. 20,3. 19,3. 9,3. 13,3. 14,4. L1,Walsall Town
Liverpool,,,,,,2. 1,1. 16,2. 1,1. 5,1. 9,1. 2,1. 10,1. 1,1. 11,1. 5,1. 17,2. 1,1. 1,1. 15,1. 8,1. 16,1. 2,1. 13,1. 17,1. 12,1. 16,1. 13,1. 4,1. 4,1. 1,1. 1,1. 12,1. 4,1. 7,1. 9,1. 16,1. 5,1. 12,1. 9,1. 10,1. 14,1. 18,1. 7,1. 19,1. 18,1. 11,1. 11,1. 1,1. 11,1. 12,1. 8,1. 9,1. 11,1. 17,1. 22,2. 11,2. 3,2. 3,2. 4,2. 4,2. 3,2. 3,2. 1,1. 8,1. 1,1. 7,1. 1,1. 5,1. 3,1. 2,1. 5,1. 5,1. 3,1. 1,1. 2,1. 2,1. 1,1. 1,1. 2,1. 1,1. 1,1. 5,1. 1,1. 1,1. 1,1. 2,1. 1,1. 2,1. 1,1. 2,1. 1,1. 2,1. 6,1. 6,1. 8,1. 4,1. 3,1. 4,1. 3,1. 7,1. 4,1. 3,1. 2,1. 5,1. 4,1. 5,1. 3,1. 3,1. 4,1. 2,1. 7,1. 6,1. 8,1. 7,1. 2,1. 6,4. PL,Liverpool
Newcastle United,,,,,,2. 4,2. 10,2. 5,2. 5,2. 2,1. 13,1. 5,1. 6,1. 3,1. 14,1. 4,1. 1,1. 4,1. 1,1. 4,1. 1,1. 4,1. 8,1. 3,1. 14,1. 11,1. 15,1. 8,1. 5,1. 7,1. 4,1. 9,1. 6,1. 10,1. 1,1. 9,1. 10,1. 19,1. 17,1. 11,1. 5,1. 21,2. 6,2. 8,2. 4,2. 19,2. 9,2. 5,2. 2,1. 4,1. 5,1. 4,1. 8,1. 16,1. 15,1. 8,1. 11,1. 17,1. 19,1. 11,1. 8,1. 21,2. 11,2. 7,2. 8,2. 1,1. 15,1. 20,1. 10,1. 9,1. 7,1. 12,1. 11,1. 9,1. 15,1. 15,1. 15,1. 5,1. 21,2. 8,2. 9,2. 11,2. 9,2. 5,2. 3,1. 14,1. 11,1. 17,1. 8,1. 20,2. 3,2. 11,2. 20,2. 1,1. 3,1. 6,1. 2,1. 2,1. 13,1. 13,1. 11,1. 11,1. 4,1. 3,1. 5,1. 14,1. 7,1. 13,1. 12,1. 18,2. 1,1. 12,1. 5,1. 16,1. 10,1. 15,4. PL,Newcastle United
"Woolwich Arsenal (1914 The, 1928 Arsenal)",,,,,,2. 9,2. 8,2. 7,2. 10,2. 5,2. 7,2. 8,2. 7,2. 4,2. 3,2. 2,1. 10,1. 12,1. 7,1. 14,1. 6,1. 18,1. 10,1. 10,1. 20,2. 3,2. 5,1. 10,1. 9,1. 17,1. 11,1. 19,1. 20,1. 2,1. 11,1. 10,1. 9,1. 14,1. 1,1. 2,1. 1,1. 1,1. 1,1. 6,1. 3,1. 1,1. 5,1. 13,1. 1,1. 5,1. 6,1. 5,1. 3,1. 1,1. 12,1. 9,1. 5,1. 5,1. 12,1. 3,1. 13,1. 11,1. 10,1. 7,1. 8,1. 13,1. 14,1. 7,1. 9,1. 4,1. 12,1. 1,1. 5,1. 2,1. 10,1. 16,1. 17,1. 8,1. 5,1. 7,1. 4,1. 3,1. 5,1. 10,1. 6,1. 7,1. 7,1. 4,1. 6,1. 1,1. 4,1. 1,1. 4,1. 10,1. 4,1. 12,1. 5,1. 3,1. 1,1. 2,1. 2,1. 2,1. 1,1. 2,1. 1,1. 2,1. 4,1. 4,1. 3,1. 4,1. 3,1. 4,1. 3,1. 4,1. 4,1. 3,4. PL,Arsenal
Middlesbrough Ironopolis,,,,,,2. 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middlesbrough Ironopolis
Rotherham Town (1926 Rotherham United),,,,,,2. 14,2. 12,2. 15,,,,,,,,,,,,,,,,,,,,,,,,,,3. 14,3. 19,3. 14,3. 16,3. 20,3. 14,3. 19,3. 17,3. 21,3. 9,3. 11,3. 17,3. 6,3. 11,3. 2,3. 2,3. 2,3. 6,3. 1,2. 9,2. 12,2. 5,2. 3,2. 19,2. 17,2. 18,2. 20,2. 8,2. 15,2. 9,2. 14,2. 7,2. 14,2. 7,2. 18,2. 21,3. 11,3. 14,3. 8,3. 5,3. 21,4. 15,4. 3,3. 16,3. 4,3. 20,3. 17,3. 13,3. 1,2. 7,2. 20,3. 18,3. 12,3. 14,3. 14,3. 21,4. 1,3. 9,3. 23,4. 2,3. 11,3. 15,3. 17,3. 16,3. 23,4. 9,4. 5,4. 2,3. 2,2. 21,2. 15,2. 17,2. 24,3. 20,3. 23,4. 9,4. 14,4. 5,4. 9,4. 10,4. 2,3. 4,2. 21,4. CH,Rotherham United
Bury,,,,,,,2. 1,1. 11,1. 9,1. 14,1. 10,1. 12,1. 5,1. 7,1. 8,1. 12,1. 17,1. 17,1. 16,1. 7,1. 17,1. 13,1. 18,1. 20,2. 11,2. 10,2. 11,2. 5,2. 11,2. 11,2. 6,2. 2,1. 5,1. 4,1. 19,1. 5,1. 21,2. 5,2. 13,2. 5,2. 4,2. 12,2. 10,2. 14,2. 3,2. 10,2. 16,2. 17,2. 20,2. 12,2. 18,2. 20,2. 17,2. 20,2. 17,2. 13,2. 15,2. 21,4. 4,3. 10,3. 7,3. 1,2. 18,2. 8,2. 18,2. 16,2. 19,2. 22,3. 2,2. 21,3. 19,3. 22,4. 9,4. 12,4. 4,3. 14,3. 13,3. 7,3. 15,3. 19,3. 21,4. 12,4. 9,4. 5,4. 15,4. 4,3. 20,3. 16,3. 14,3. 13,3. 5,3. 7,3. 21,4. 7,4. 13,4. 4,4. 3,3. 1,2. 17,2. 22,3. 15,3. 16,3. 22,4. 7,4. 12,4. 17,4. 19,4. 21,4. 13,4. 4,4. 9,4. 2,3. 14,3. 22,4. 12,4. 3,4. L1,Bury
Leicester Fosse (1920 Leicester City),,,,,,,2. 4,2. 8,2. 9,2. 7,2. 3,2. 5,2. 11,2. 14,2. 15,2. 18,2. 14,2. 7,2. 3,2. 2,1. 20,1. 5,2. 15,2. 10,2. 15,2. 18,2. 19,2. 14,2. 12,2. 9,2. 3,2. 12,2. 1,1. 17,1. 7,1. 3,1. 2,1. 8,1. 16,1. 19,1. 19,1. 17,1. 21,2. 6,2. 1,1. 16,1. 22,2. 9,2. 9,2. 19,2. 15,2. 14,2. 5,2. 5,2. 1,1. 21,2. 5,2. 1,1. 18,1. 19,1. 12,1. 6,1. 14,1. 4,1. 11,1. 18,1. 7,1. 8,1. 13,1. 21,2. 3,2. 1,1. 12,1. 16,1. 9,1. 18,1. 7,1. 11,1. 22,2. 17,2. 1,1. 21,2. 8,2. 3,1. 15,1. 15,1. 19,1. 20,2. 13,2. 15,2. 13,2. 22,2. 4,2. 6,2. 4,1. 21,2. 5,1. 9,1. 10,1. 10,1. 8,1. 13,1. 20,2. 2,1. 18,2. 15,2. 16,2. 19,2. 22,3. 1,2. 5,2. 10,2. 9,2. 6,2. 1,1. 14,4. PL,Leicester City
Burton Wanderers,,,,,,,2. 7,2. 4,2. 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burton Wanderers
Loughborough,,,,,,,,2. 12,2. 13,2. 16,2. 17,2. 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loughborough
Gainsborough Trinity,,,,,,,,,2. 7,2. 9,2. 14,2. 13,2. 13,2. 18,2. 12,2. 9,2. 6,2. 15,2. 14,2. 11,2. 9,2. 18,2. 18,2. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gainsborough Trinity
Blackpool,,,,,,,,,2. 8,2. 11,2. 16,,2. 12,2. 13,2. 14,2. 15,2. 15,2. 14,2. 13,2. 15,2. 20,2. 12,2. 7,2. 14,2. 20,2. 16,2. 10,2. 4,2. 4,2. 19,2. 5,2. 4,2. 17,2. 6,2. 9,2. 19,2. 8,2. 1,1. 20,1. 20,1. 22,2. 11,2. 4,2. 10,2. 2,1. 12,1. 15,1. 5,1. 9,1. 16,1. 7,1. 3,1. 9,1. 7,1. 6,1. 19,1. 2,1. 4,1. 7,1. 8,1. 11,1. 20,1. 13,1. 13,1. 18,1. 17,1. 13,1. 22,2. 3,2. 8,2. 2,1. 22,2. 6,2. 7,2. 5,2. 7,2. 10,2. 5,2. 20,3. 12,3. 18,3. 23,4. 12,4. 21,4. 6,4. 2,3. 12,3. 9,3. 10,3. 19,3. 23,4. 5,4. 4,3. 18,3. 20,3. 12,3. 3,3. 7,3. 12,3. 14,3. 22,4. 7,3. 16,3. 13,3. 14,3. 16,3. 19,3. 3,2. 19,2. 16,2. 6,1. 19,2. 5,2. 15,2. 20,2. 24,4. L1,Blackpool
Luton Town,,,,,,,,,,2. 8,2. 15,2. 17,,,,,,,,,,,,,,,,,3. 9,3. 4,3. 5,3. 7,3. 16,3. 7,3. 8,3. 13,3. 7,3. 13,3. 7,3. 6,3. 14,3. 6,3. 4,3. 2,3. 1,2. 12,2. 7,2. 13,2. 13,2. 10,2. 17,2. 19,2. 8,2. 3,2. 6,2. 2,1. 10,1. 16,1. 8,1. 17,1. 22,2. 13,2. 13,2. 22,3. 18,3. 21,4. 6,4. 17,4. 1,3. 3,3. 2,2. 6,2. 13,2. 12,2. 2,1. 20,2. 7,2. 6,2. 13,2. 18,2. 6,2. 5,2. 1,1. 18,1. 16,1. 13,1. 9,1. 7,1. 9,1. 15,1. 17,1. 18,1. 20,2. 20,2. 20,2. 16,2. 24,3. 3,3. 17,3. 12,3. 13,3. 22,4. 2,3. 9,3. 10,3. 1,2. 10,2. 23,3. 24,4. 24,,,,,,4. 8,4. L2,Luton Town
Glossop North End,,,,,,,,,,,2. 2,1. 18,2. 5,2. 8,2. 11,2. 17,2. 12,2. 16,2. 15,2. 17,2. 8,2. 6,2. 14,2. 18,2. 18,2. 17,2. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glossop North End
New Brighton Tower,,,,,,,,,,,2. 5,2. 10,2. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Brighton Tower
Barnsley,,,,,,,,,,,2. 11,2. 16,2. 15,2. 11,2. 8,2. 8,2. 7,2. 12,2. 8,2. 16,2. 17,2. 9,2. 19,2. 6,2. 4,2. 5,2. 3,2. 12,2. 16,2. 3,2. 9,2. 11,2. 15,2. 18,2. 11,2. 13,2. 16,2. 17,2. 19,2. 21,3. 8,3. 1,2. 16,2. 20,2. 14,2. 21,3. 1,2. 10,2. 12,2. 9,2. 13,2. 15,2. 20,2. 22,3. 2,3. 1,2. 18,2. 19,2. 14,2. 22,3. 17,3. 8,3. 20,3. 18,3. 20,3. 24,4. 16,4. 16,4. 2,3. 10,3. 7,3. 12,3. 22,4. 14,4. 13,4. 15,4. 12,4. 6,4. 7,4. 4,3. 11,3. 2,2. 6,2. 10,2. 14,2. 11,2. 12,2. 11,2. 14,2. 7,2. 19,2. 8,2. 16,2. 13,2. 18,2. 6,2. 10,2. 2,1. 19,2. 13,2. 4,2. 16,2. 23,3. 19,3. 12,3. 13,3. 5,2. 20,2. 18,2. 20,2. 18,2. 17,2. 21,2. 21,2. 23,3. 11,4. L1,Barnsley
Chesterfield (1905 Chesterfield Town),,,,,,,,,,,,2. 7,2. 14,2. 16,2. 6,2. 11,2. 5,2. 18,2. 18,2. 19,2. 19,,,,,,,,,3. 13,3. 4,3. 3,3. 7,3. 4,3. 7,3. 16,3. 11,3. 4,3. 1,2. 17,2. 21,3. 2,3. 10,3. 1,2. 15,2. 11,2. 6,2. 4,2. 16,2. 6,2. 14,2. 21,3. 13,3. 12,3. 6,3. 6,3. 6,3. 6,3. 8,3. 16,3. 18,3. 24,4. 19,4. 15,4. 16,4. 12,4. 20,4. 15,4. 7,4. 20,4. 1,3. 5,3. 13,3. 16,3. 5,3. 15,3. 14,3. 18,3. 9,3. 20,3. 4,3. 5,3. 11,3. 24,4. 13,4. 1,3. 17,3. 17,3. 18,3. 22,4. 7,4. 18,4. 13,4. 12,4. 8,4. 3,3. 7,3. 10,3. 10,3. 9,3. 24,4. 3,3. 18,3. 20,3. 20,3. 17,3. 16,3. 21,4. 8,4. 10,4. 8,4. 1,3. 22,4. 8,4. 1,3. 6,4. L1,Chesterfield Town
Middlesbrough,,,,,,,,,,,,2. 14,2. 6,2. 2,1. 13,1. 10,1. 15,1. 18,1. 11,1. 6,1. 9,1. 17,1. 16,1. 7,1. 16,1. 3,1. 12,1. 13,1. 8,1. 8,1. 18,1. 22,2. 13,2. 9,2. 1,1. 22,2. 1,1. 16,1. 7,1. 18,1. 17,1. 16,1. 20,1. 14,1. 7,1. 5,1. 4,1. 11,1. 16,1. 19,1. 9,1. 6,1. 18,1. 13,1. 21,2. 12,2. 14,2. 6,2. 7,2. 13,2. 5,2. 5,2. 12,2. 4,2. 10,2. 17,2. 21,3. 2,2. 6,2. 4,2. 4,2. 7,2. 9,2. 4,2. 1,1. 7,1. 13,1. 12,1. 14,1. 12,1. 9,1. 14,1. 22,2. 16,2. 17,2. 19,2. 21,3. 2,2. 3,1. 18,2. 21,2. 7,2. 2,1. 21,2. 9,2. 1,1. 12,1. 19,2. 2,1. 9,1. 12,1. 14,1. 12,1. 11,1. 11,1. 7,1. 14,1. 12,1. 13,1. 19,2. 11,2. 12,2. 7,2. 16,2. 12,2. 4,4. CH,Middlesbrough
Stockport County,,,,,,,,,,,,,2. 17,2. 17,2. 17,2. 16,,2. 10,2. 12,2. 13,2. 18,2. 13,2. 17,2. 16,2. 19,2. 12,2. 14,2. 16,2. 22,3. 1,2. 20,2. 13,2. 19,2. 22,3. 6,3. 3,3. 2,3. 2,3. 7,3. 12,3. 3,3. 3,3. 7,3. 5,3. 1,2. 22,3. 9,3. 4,3. 17,3. 8,3. 10,3. 10,3. 3,3. 11,3. 10,3. 9,3. 7,3. 5,3. 9,3. 21,4. 10,4. 13,4. 16,4. 19,4. 17,4. 24,4. 13,4. 1,3. 13,3. 9,3. 24,4. 11,4. 23,4. 11,4. 24,4. 20,4. 21,4. 14,4. 18,4. 17,4. 16,4. 20,4. 18,4. 16,4. 12,4. 22,4. 11,4. 19,4. 20,4. 20,4. 4,4. 2,3. 5,3. 6,3. 4,3. 11,3. 9,3. 2,2. 8,2. 16,2. 17,2. 19,2. 24,3. 14,3. 19,3. 24,4. 22,4. 8,4. 4,3. 18,3. 24,4. 24,,,,,,Stockport County
Bristol City,,,,,,,,,,,,,,2. 6,2. 4,2. 4,2. 4,2. 1,1. 2,1. 10,1. 8,1. 16,1. 19,2. 13,2. 16,2. 8,2. 13,2. 8,2. 3,2. 22,3. 1,2. 22,3. 3,3. 4,3. 1,2. 12,2. 20,2. 20,2. 16,2. 22,3. 15,3. 19,3. 15,3. 13,3. 16,3. 2,3. 8,3. 3,3. 7,3. 16,3. 15,3. 10,3. 15,3. 5,3. 3,3. 1,2. 11,2. 13,2. 17,2. 10,2. 22,3. 14,3. 6,3. 14,3. 5,3. 2,2. 5,2. 15,2. 19,2. 16,2. 14,2. 19,2. 8,2. 5,2. 16,2. 5,2. 2,1. 18,1. 17,1. 13,1. 20,2. 21,3. 23,4. 14,4. 4,3. 5,3. 9,3. 6,3. 5,3. 11,3. 2,2. 9,2. 17,2. 15,2. 13,2. 23,3. 13,3. 5,3. 2,2. 24,3. 9,3. 9,3. 7,3. 3,3. 3,3. 7,3. 9,3. 2,2. 4,2. 10,2. 10,2. 15,2. 20,2. 24,3. 12,3. 1,4. CH,Bristol City
