Clubs (138),89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs (138)
Bristol Rovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 10,3. 14,3. 13,3. 9,3. 17,3. 19,3. 10,3. 19,3. 19,3. 20,3. 15,3. 18,3. 9,3. 7,3. 8,3. 17,3. 15,3. 15,3. 22,3. 14,3. 20,3. 5,3. 9,3. 6,3. 7,3. 1,2. 9,2. 9,2. 6,2. 9,2. 10,2. 6,2. 9,2. 17,2. 21,3. 19,3. 12,3. 6,3. 16,3. 5,3. 15,3. 16,3. 3,3. 6,3. 6,3. 5,3. 2,2. 19,2. 18,2. 15,2. 18,2. 16,2. 19,2. 22,3. 15,3. 7,3. 5,3. 6,3. 16,3. 19,3. 8,3. 5,3. 1,2. 13,2. 13,2. 24,3. 8,3. 4,3. 10,3. 17,3. 5,3. 13,3. 7,3. 21,4. 23,4. 20,4. 15,4. 12,4. 12,4. 6,3. 16,3. 11,3. 11,3. 22,4. 13,4. 14,4. 23,,4. L2,Bristol Rovers
Plymouth Argyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 11,3. 2,3. 2,3. 2,3. 2,3. 2,3. 2,3. 3,3. 4,3. 1,2. 18,2. 4,2. 14,2. 10,2. 8,2. 7,2. 5,2. 13,2. 15,2. 19,2. 17,2. 20,2. 21,3. 4,3. 1,2. 4,2. 19,2. 20,2. 21,3. 18,3. 3,3. 1,2. 19,2. 11,2. 5,2. 12,2. 20,2. 15,2. 18,2. 16,2. 22,3. 5,3. 17,3. 15,3. 8,3. 8,3. 17,3. 2,2. 16,2. 21,3. 19,3. 15,3. 15,3. 7,3. 10,3. 8,3. 19,3. 15,3. 2,2. 7,2. 16,2. 18,2. 16,2. 18,2. 22,3. 14,3. 3,3. 21,4. 4,3. 19,3. 22,4. 13,4. 12,4. 12,4. 1,3. 8,3. 1,2. 17,2. 14,2. 11,2. 10,2. 21,2. 23,3. 23,4. 21,4. 21,4. 10,4. 7,4. L2,Plymouth Argyle
Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 12,3. 3,3. 7,3. 1,2. 4,2. 11,2. 2,1. 20,1. 20,1. 13,1. 4,1. 8,1. 9,1. 10,1. 14,1. 10,1. 9,1. 19,1. 17,1. 12,1. 8,1. 1,1. 1,1. 7,1. 4,1. 15,1. 14,1. 3,1. 12,1. 19,1. 20,1. 22,2. 20,2. 21,3. 1,2. 16,2. 19,2. 20,2. 12,2. 14,2. 5,2. 15,2. 17,2. 16,2. 16,2. 17,2. 15,2. 17,2. 22,3. 20,3. 24,4. 7,4. 4,3. 6,3. 13,3. 1,2. 16,2. 4,2. 4,2. 2,1. 19,2. 20,2. 12,2. 17,2. 9,2. 3,2. 17,2. 18,2. 21,2. 7,2. 20,2. 19,2. 18,2. 20,2. 17,2. 1,1. 13,1. 16,1. 17,1. 9,1. 8,1. 14,1. 20,2. 16,2. 22,3. 24,4. 13,4. 16,4. L2,Portsmouth
,,,,,,,,,,,,Season,,,,,,5,6,7,8,9,10,11,12,13,14,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Season
Clubs,,,,,,,,,,,,,,,,,,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs
Northampton Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 14,3. 17,3. 8,3. 8,3. 9,3. 12,3. 18,3. 2,3. 3,3. 4,3. 6,3. 14,3. 8,3. 13,3. 7,3. 15,3. 7,3. 9,3. 17,3. 13,3. 14,3. 20,3. 2,3. 21,3. 8,3. 3,3. 5,3. 13,3. 11,3. 14,3. 13,4. 8,4. 6,4. 3,3. 8,3. 1,2. 11,2. 2,1. 21,2. 21,3. 17,3. 21,4. 14,4. 7,4. 21,4. 23,4. 5,4. 16,4. 2,3. 22,4. 10,4. 19,4. 13,4. 10,4. 22,4. 15,4. 18,4. 23,4. 8,4. 1,3. 6,3. 20,3. 22,4. 10,4. 16,4. 20,4. 22,4. 17,4. 11,4. 4,3. 4,3. 22,4. 3,3. 18,3. 20,3. 24,4. 6,4. 7,4. 2,3. 14,3. 9,3. 21,4. 11,4. 16,4. 20,4. 6,4. 21,4. 12,4. L2,Northampton Town
Newport County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 15,3. 20,3. 22,3. 10,3. 6,3. 17,3. 9,3. 9,3. 16,3. 18,3. 21,,3. 21,3. 18,3. 22,3. 21,3. 19,3. 16,3. 1,2. 22,3. 12,3. 15,3. 21,3. 11,3. 6,3. 15,3. 15,3. 19,3. 19,3. 12,3. 11,3. 17,3. 13,3. 13,3. 24,4. 20,4. 15,4. 16,4. 9,4. 18,4. 12,4. 22,4. 21,4. 22,4. 14,4. 5,4. 9,4. 12,4. 22,4. 19,4. 16,4. 8,4. 3,3. 12,3. 16,3. 4,3. 13,3. 18,3. 19,3. 24,4. 24,,,,,,,,,,,,,,,,,,,,,,,,,,4. 14,4. 9,4. L2,Newport County
Norwich City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 16,3. 15,3. 18,3. 11,3. 12,3. 16,3. 16,3. 17,3. 17,3. 8,3. 22,3. 10,3. 3,3. 1,2. 14,2. 11,2. 17,2. 14,2. 21,3. 21,3. 21,3. 10,3. 11,3. 2,3. 3,3. 4,3. 7,3. 11,3. 7,3. 24,3. 8,3. 4,3. 2,2. 4,2. 17,2. 13,2. 17,2. 6,2. 13,2. 11,2. 9,2. 13,2. 11,2. 10,2. 1,1. 20,1. 22,2. 3,1. 10,1. 16,1. 13,1. 16,1. 12,1. 20,2. 3,1. 14,1. 14,1. 20,2. 1,1. 5,1. 14,1. 4,1. 10,1. 15,1. 18,1. 3,1. 12,1. 20,2. 16,2. 13,2. 15,2. 9,2. 12,2. 15,2. 6,2. 8,2. 1,1. 19,2. 9,2. 16,2. 17,2. 22,3. 1,2. 2,1. 12,1. 11,1. 18,2. 3,4. PL,Norwich City
Southend United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 17,3. 22,3. 15,3. 19,3. 10,3. 11,3. 19,3. 7,3. 12,3. 11,3. 5,3. 3,3. 13,3. 16,3. 21,3. 18,3. 10,3. 12,3. 12,3. 8,3. 9,3. 18,3. 3,3. 7,3. 9,3. 8,3. 16,3. 10,3. 4,3. 7,3. 7,3. 8,3. 12,3. 20,3. 16,3. 8,3. 14,3. 12,3. 21,4. 6,4. 6,4. 7,4. 17,4. 18,4. 2,3. 14,3. 12,3. 18,3. 23,4. 10,4. 2,3. 13,3. 22,4. 1,3. 7,3. 15,3. 22,4. 20,4. 9,4. 3,3. 17,3. 21,4. 3,3. 2,2. 12,2. 18,2. 15,2. 13,2. 14,2. 24,3. 24,4. 18,4. 16,4. 11,4. 12,4. 17,4. 17,4. 4,3. 1,2. 22,3. 6,3. 8,3. 23,4. 13,4. 4,4. 11,4. 5,4. 5,4. L1,Southend United
Brighton & Hove Albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 18,3. 19,3. 4,3. 5,3. 8,3. 5,3. 4,3. 4,3. 15,3. 5,3. 4,3. 8,3. 12,3. 10,3. 9,3. 7,3. 3,3. 5,3. 3,3. 17,3. 22,3. 6,3. 8,3. 13,3. 5,3. 7,3. 2,3. 6,3. 2,3. 6,3. 1,2. 12,2. 14,2. 16,2. 22,3. 22,4. 8,4. 1,3. 15,3. 19,3. 10,3. 12,3. 5,3. 14,3. 2,2. 22,3. 19,3. 19,3. 4,3. 2,2. 4,2. 2,1. 16,1. 19,1. 13,1. 22,2. 9,2. 6,2. 11,2. 22,3. 2,2. 19,2. 18,2. 6,2. 23,3. 9,3. 14,3. 16,3. 23,4. 23,4. 23,4. 17,4. 11,4. 1,3. 1,2. 23,3. 4,2. 20,2. 24,3. 18,3. 7,3. 16,3. 13,3. 1,2. 10,2. 4,2. 6,2. 20,4. CH,Brighton & Hove Albion
Exeter City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 19,3. 21,3. 20,3. 16,3. 7,3. 20,3. 12,3. 8,3. 21,3. 16,3. 13,3. 7,3. 2,3. 9,3. 11,3. 22,3. 21,3. 17,3. 14,3. 15,3. 11,3. 12,3. 16,3. 14,3. 23,3. 17,3. 9,3. 22,3. 16,3. 21,3. 24,4. 5,4. 9,4. 21,4. 18,4. 17,4. 4,3. 17,3. 22,4. 14,4. 20,4. 17,4. 18,4. 9,4. 15,4. 8,4. 10,4. 9,4. 7,4. 2,3. 17,3. 9,3. 8,3. 11,3. 18,3. 19,3. 24,4. 18,4. 21,4. 14,4. 22,4. 13,4. 1,3. 16,3. 20,3. 19,3. 22,4. 22,4. 14,4. 22,4. 15,4. 12,4. 21,4. 19,4. 16,4. 23,,,,,,4. 2,3. 18,3. 8,3. 23,4. 10,4. 16,4. 10,4. L2,Exeter City
Reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 20,3. 13,3. 19,3. 18,3. 14,3. 1,2. 14,2. 18,2. 15,2. 19,2. 21,3. 2,3. 4,3. 3,3. 2,3. 3,3. 5,3. 6,3. 5,3. 9,3. 10,3. 2,3. 10,3. 3,3. 2,3. 11,3. 8,3. 18,3. 17,3. 13,3. 5,3. 6,3. 11,3. 18,3. 7,3. 20,3. 6,3. 13,3. 8,3. 4,3. 5,3. 14,3. 8,3. 21,4. 16,4. 7,4. 6,4. 7,4. 3,3. 21,4. 8,4. 1,3. 7,3. 10,3. 12,3. 21,4. 3,3. 9,3. 1,2. 13,2. 22,3. 18,3. 10,3. 15,3. 12,3. 8,3. 1,2. 2,2. 19,2. 18,2. 24,3. 11,3. 10,3. 3,3. 2,2. 4,2. 9,2. 7,2. 1,1. 8,1. 18,2. 4,2. 9,2. 5,2. 1,1. 19,2. 7,2. 19,4. CH,Reading
Brentford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 21,3. 9,3. 14,3. 17,3. 21,3. 18,3. 11,3. 12,3. 13,3. 2,3. 3,3. 5,3. 1,2. 4,2. 1,1. 5,1. 6,1. 6,1. 18,1. 21,2. 15,2. 18,2. 9,2. 9,2. 10,2. 17,2. 21,3. 11,3. 6,3. 8,3. 2,3. 3,3. 6,3. 17,3. 23,4. 1,3. 16,3. 5,3. 23,4. 9,4. 14,4. 11,4. 5,4. 14,4. 3,3. 22,4. 19,4. 8,4. 18,4. 15,4. 4,3. 10,3. 19,3. 9,3. 8,3. 9,3. 20,3. 13,3. 10,3. 11,3. 12,3. 7,3. 13,3. 6,3. 1,2. 22,3. 16,3. 2,3. 15,3. 4,3. 21,4. 1,3. 17,3. 14,3. 3,3. 16,3. 17,3. 4,3. 3,3. 24,4. 14,4. 1,3. 9,3. 11,3. 9,3. 3,3. 2,2. 5,4. CH,Brentford
Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 22,3. 18,3. 16,3. 15,3. 13,3. 10,3. 20,3. 16,3. 22,3. 21,3. 16,3. 21,3. 7,3. 17,3. 20,3. 16,3. 11,3. 22,,,,,,3. 22,3. 22,3. 21,3. 10,3. 4,3. 10,3. 22,3. 22,4. 11,4. 7,4. 15,4. 20,4. 5,4. 1,3. 7,3. 6,3. 11,3. 11,3. 20,3. 20,3. 24,4. 13,4. 9,4. 2,3. 10,3. 15,3. 12,3. 7,3. 4,3. 16,3. 15,3. 6,3. 13,3. 8,3. 4,3. 5,3. 5,3. 13,3. 23,4. 14,4. 15,4. 11,4. 21,4. 16,4. 19,4. 2,3. 11,3. 8,3. 4,3. 3,2. 13,2. 12,2. 11,2. 21,2. 22,3. 14,3. 16,3. 22,4. 5,3. 21,4. 8,4. 8,4. 1,3. 17,3. 12,4. L1,Gillingham
Darlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 2,3. 9,3. 6,3. 1,2. 15,2. 21,2. 7,3. 19,3. 3,3. 11,3. 11,3. 22,3. 16,3. 5,3. 12,3. 22,3. 19,3. 18,3. 17,3. 16,3. 4,3. 17,3. 18,3. 23,3. 21,3. 21,3. 15,3. 15,3. 18,3. 20,4. 16,4. 15,4. 7,4. 13,4. 12,4. 19,4. 17,4. 2,3. 22,4. 16,4. 5,4. 22,4. 12,4. 19,4. 24,4. 20,4. 21,4. 20,4. 11,4. 19,4. 21,4. 22,4. 8,4. 13,4. 17,4. 14,4. 3,3. 13,3. 23,4. 13,4. 24,,4. 1,3. 24,4. 15,4. 21,4. 20,4. 5,4. 18,4. 19,4. 11,4. 4,4. 20,4. 15,4. 14,4. 18,4. 8,4. 8,4. 11,4. 6,4. 12,4. 24,,,,,,,Darlington
Hartlepools United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 4,3. 15,3. 21,3. 20,3. 6,3. 17,3. 15,3. 21,3. 8,3. 20,3. 13,3. 14,3. 11,3. 12,3. 8,3. 6,3. 20,3. 21,3. 13,3. 19,3. 16,3. 18,3. 16,3. 9,3. 17,3. 18,3. 5,3. 4,3. 2,3. 17,4. 19,4. 24,4. 23,4. 22,4. 24,4. 23,4. 15,4. 18,4. 8,4. 3,3. 22,4. 23,4. 23,4. 18,4. 20,4. 11,4. 13,4. 14,4. 22,4. 21,4. 13,4. 19,4. 9,4. 14,4. 22,4. 23,4. 19,4. 7,4. 18,4. 16,4. 19,4. 19,4. 3,3. 11,3. 16,3. 23,4. 18,4. 20,4. 20,4. 17,4. 22,4. 7,4. 4,4. 7,4. 2,3. 6,3. 6,3. 21,4. 2,3. 15,3. 19,3. 20,3. 16,3. 13,3. 23,4. 19,4. 22,4. L2,Hartlepool United
Accrington Stanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 5,3. 8,3. 13,3. 17,3. 18,3. 21,3. 9,3. 18,3. 16,3. 13,3. 14,3. 13,3. 20,3. 18,3. 9,3. 13,3. 22,3. 22,3. 20,3. 6,3. 20,3. 13,3. 23,3. 22,3. 24,3. 15,3. 2,3. 3,3. 3,3. 2,3. 19,3. 24,4. 18,4. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 20,4. 17,4. 16,4. 15,4. 5,4. 14,4. 18,4. 15,4. 17,4. L2,Accrington Stanley
Stalybridge Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 7,3. 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stalybridge Celtic
Southport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 9,3. 17,3. 7,3. 4,3. 20,3. 12,3. 8,3. 12,3. 9,3. 5,3. 7,3. 12,3. 18,3. 21,3. 21,3. 14,3. 16,3. 4,3. 21,3. 15,3. 21,3. 16,3. 21,3. 17,3. 6,3. 11,3. 11,3. 5,3. 22,3. 23,4. 24,4. 21,4. 14,4. 17,4. 13,4. 21,4. 20,4. 10,4. 2,3. 14,3. 8,3. 22,4. 8,4. 7,4. 1,3. 23,4. 11,4. 23,4. 23,4. 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southport
Ashington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 10,3. 19,3. 8,3. 10,3. 9,3. 16,3. 18,3. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashington
Durham City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 11,3. 20,3. 15,3. 13,3. 13,3. 20,3. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durham City
Wrexham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 12,3. 10,3. 16,3. 16,3. 19,3. 13,3. 11,3. 3,3. 17,3. 3,3. 10,3. 2,3. 6,3. 11,3. 18,3. 8,3. 10,3. 14,3. 7,3. 3,3. 9,3. 20,3. 14,3. 18,3. 3,3. 8,3. 18,3. 14,3. 12,3. 12,3. 18,3. 23,4. 16,4. 3,3. 9,3. 23,4. 14,4. 24,4. 7,4. 8,4. 9,4. 2,3. 9,3. 16,3. 12,3. 4,3. 13,3. 6,3. 5,3. 1,2. 15,2. 16,2. 16,2. 21,3. 22,4. 20,4. 15,4. 13,4. 9,4. 11,4. 7,4. 21,4. 24,4. 14,4. 2,3. 12,3. 13,3. 8,3. 8,3. 7,3. 17,3. 11,3. 10,3. 23,4. 3,3. 13,3. 22,4. 13,4. 19,4. 24,,,,,,,,,Wrexham
Barrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 15,3. 18,3. 22,3. 14,3. 22,3. 22,3. 19,3. 20,3. 22,3. 16,3. 5,3. 9,3. 8,3. 17,3. 15,3. 16,3. 21,3. 13,3. 9,3. 7,3. 13,3. 15,3. 19,3. 12,3. 19,3. 12,3. 17,3. 22,3. 10,3. 18,4. 23,4. 18,4. 22,4. 9,4. 9,4. 24,4. 21,4. 12,4. 3,3. 8,3. 19,3. 23,4. 24,4. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barrow
Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 16,3. 1,2. 21,3. 2,3. 8,3. 5,3. 22,3. 15,3. 19,3. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nelson
Wigan Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 17,3. 5,3. 10,3. 11,3. 17,3. 18,3. 20,3. 4,3. 18,3. 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wigan Borough
Tranmere Rovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 18,3. 16,3. 12,3. 21,3. 7,3. 9,3. 5,3. 7,3. 12,3. 4,3. 4,3. 11,3. 7,3. 6,3. 3,3. 19,3. 1,2. 22,3. 10,3. 18,3. 11,3. 5,3. 4,3. 11,3. 12,3. 14,3. 19,3. 16,3. 23,3. 11,3. 7,3. 20,3. 21,4. 15,4. 8,4. 7,4. 5,4. 5,4. 4,3. 19,3. 7,3. 16,3. 18,3. 20,3. 10,3. 16,3. 22,4. 4,3. 14,3. 12,3. 23,4. 15,4. 21,4. 11,4. 19,4. 10,4. 6,4. 19,4. 20,4. 14,4. 2,3. 4,3. 5,2. 14,2. 4,2. 5,2. 5,2. 13,2. 11,2. 14,2. 15,2. 13,2. 24,3. 12,3. 7,3. 8,3. 3,3. 18,3. 9,3. 11,3. 7,3. 19,3. 18,3. 12,3. 11,3. 21,4. 24,,Tranmere Rovers
Halifax Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 19,3. 7,3. 14,3. 9,3. 5,3. 4,3. 12,3. 13,3. 21,3. 17,3. 17,3. 15,3. 9,3. 2,3. 17,3. 7,3. 18,3. 12,3. 22,3. 21,3. 19,3. 21,3. 22,3. 20,3. 14,3. 23,3. 14,3. 19,3. 11,3. 7,3. 9,3. 15,3. 9,3. 18,3. 24,4. 10,4. 23,4. 15,4. 12,4. 11,4. 2,3. 18,3. 3,3. 17,3. 20,3. 9,3. 17,3. 24,4. 21,4. 20,4. 23,4. 18,4. 23,4. 19,4. 11,4. 21,4. 21,4. 20,4. 15,4. 18,4. 21,4. 23,4. 22,4. 20,4. 22,,,,,,4. 10,4. 18,4. 23,4. 24,,,,,,,,,,,,,,,Halifax Town
Rochdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 20,3. 12,3. 2,3. 6,3. 3,3. 2,3. 13,3. 17,3. 10,3. 21,3. 21,3. 18,3. 22,3. 20,3. 20,3. 18,3. 17,3. 15,3. 6,3. 12,3. 7,3. 3,3. 11,3. 21,3. 22,3. 19,3. 12,3. 12,3. 13,3. 10,3. 24,4. 12,4. 17,4. 12,4. 7,4. 20,4. 6,4. 21,4. 21,4. 19,4. 3,3. 9,3. 16,3. 18,3. 13,3. 24,4. 19,4. 15,4. 18,4. 24,4. 20,4. 24,4. 15,4. 21,4. 20,4. 22,4. 17,4. 18,4. 21,4. 21,4. 18,4. 12,4. 12,4. 8,4. 11,4. 9,4. 15,4. 15,4. 14,4. 18,4. 19,4. 10,4. 8,4. 5,4. 19,4. 21,4. 9,4. 14,4. 9,4. 5,4. 6,4. 3,3. 9,3. 24,4. 12,4. 3,3. 8,4. L1,Rochdale
Aberdare Athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 8,3. 21,3. 12,3. 18,3. 9,3. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberdare Athletic
Charlton Athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 16,3. 12,3. 14,3. 15,3. 21,3. 13,3. 11,3. 1,2. 13,2. 15,2. 10,2. 22,3. 5,3. 1,2. 2,1. 2,1. 4,1. 3,1. 19,1. 13,1. 9,1. 20,1. 17,1. 10,1. 5,1. 9,1. 15,1. 14,1. 22,2. 3,2. 8,2. 7,2. 10,2. 15,2. 20,2. 4,2. 18,2. 16,2. 19,2. 15,2. 3,2. 20,2. 20,2. 21,3. 11,3. 14,3. 3,2. 9,2. 7,2. 17,2. 19,2. 22,3. 3,2. 13,2. 17,2. 13,2. 17,2. 2,1. 19,1. 17,1. 14,1. 19,2. 16,2. 7,2. 12,2. 11,2. 15,2. 6,2. 15,2. 4,1. 18,2. 1,1. 9,1. 14,1. 12,1. 7,1. 11,1. 13,1. 19,2. 11,2. 24,3. 4,3. 13,3. 1,2. 9,2. 18,2. 12,4. CH,Charlton Athletic
,,,,,,,,,,,,,,,,,,,,,,,SEASON,,,,,,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Season
CLUBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs
